Family Subfamily Tribe Subtribe,Genus (Subgenus) species,States,Status,Host plant Family Tribe Genera
Andrenidae: Andreninae,Ancylandrena atoposoma,AZ-CA,Rare,Fabaceae: Lupinus L.
Andrenidae: Andreninae,Ancylandrena koebelei,AZ-CA-NV-UT,Rare,Fabaceae: Dalea L.
Andrenidae: Andreninae,Ancylandrena larreae,AZ-CA-NM-NV-UT,Uncommon,Larrea Cav.
Andrenidae: Andreninae,Ancylandrena rozeni,AZ,Rare,Fabaceae: Coursetia DC.
Andrenidae: Andreninae,Andrena (Diandrena) ablegata,CA-CO-ID-OR-UT-WY,Rare,Agoseris Raf.
Andrenidae: Andreninae,Andrena (Callandrena) accepta,AZ-CA-CO-ID-MT-NM-NV-OR-UT-WY,Uncommon,Asteraceae: Helianthus L.
Andrenidae: Andreninae,Andrena (Diandrena) agoseridis,CA,Rare,Agoseris Raf.
Andrenidae: Andreninae,Andrena (Scrapteropsis) alamonis,AZ-NM,Rare,Lesquerella S. Watson
Andrenidae: Andreninae,Andrena (Callandrena s.l.) aliciae,AZ-NM,Rare,"Asteraceae: Bidens L., Helianthus L., Rudbeckia L."
Andrenidae: Andreninae,Andrena (Callandrena) aliciarum,AZ-NM,Rare,"Asteraceae: Hymenothrix A. Gray, Pectis L."
Andrenidae: Andreninae,Andrena (Diandrena) anatolis,CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Parandrena) andrenoides,CO-ID-MT-NM-UT-WA-WY,Rare,Salix L.
Andrenidae: Andreninae,Andrena (Micrandrena) annectens,CA,Rare,Salix L.
Andrenidae: Andreninae,Andrena (Onagrandrena) anograe,CO-NM-WY,Rare,Oenothera L.
Andrenidae: Andreninae,Andrena (Cnemidandrena) apacheorum,AZ-CA-CO-ID-NM-OR-UT-WY,Uncommon-Rare,"Asteraceae: Cirsium Mill., Ericameria Nutt., Erigeron L., Solidago L."
Andrenidae: Andreninae,Andrena (Diandrena) apasta,CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Scaphandrena) arabis,AZ-NM,Rare,"Arabis L., Cardamine L."
Andrenidae: Andreninae,Andrena (Derandrena) arctostaphylae,CA-UT,Rare,Arctostaphylos Adans.
Andrenidae: Andreninae,Andrena (Callandrena s.l.) ardis,CO-NM,Rare,"Asteraceae: Chrysothamnus Nutt., Gutierrezia Lag."
Andrenidae: Andreninae,Andrena (Callandrena s.l.) asteris,WY,Rare,"Eurybia (Cass.) Cass., Solidago L., Symphyotrichum Nees"
Andrenidae: Andreninae,Andrena (Euandrena) astragali,AZ-CA-CO-ID-MT-NV-OR-UT-WA-WY,Uncommon,Zigadenus Michx. (Toxicoscordion Rydb.)
Andrenidae: Andreninae,Andrena (Cnemidandrena) aurihirta,CA,Rare,"Asteraceae: Baccharis L., Chrysothamnus Nutt., Ericameria Nutt., Gutierrezia Lag., Isocoma Nutt., Solidago L."
Andrenidae: Andreninae,Andrena (Callandrena) auripes,AZ,Rare,Asteraceae: ?
Andrenidae: Andreninae,Andrena (Hesperandrena) baeriae,CA,Rare,Lasthenia Cass.
Andrenidae: Andreninae,Andrena (Callandrena s.l.) balsamorhizae,AZ-NV,Rare,"Asteraceae: Balsamorhiza Nutt., Enceliopsis (A. Gray) A. Nelson"
Andrenidae: Andreninae,Andrena (Callandrena s.l.) barberi,AZ-NM,Rare,"Asteraceae: Bidens L., Heterotheca Cass., Rudbeckia L., Solidago L."
Andrenidae: Andreninae,Andrena (Cnemidandrena) bendensis,CA-NV-OR-UT,Rare,Asteraceae: Ericameria Nutt.
Andrenidae: Andreninae,Andrena (Dactylandrena) berberidis,OR-UT-WA-WY,Uncommon-Rare,Ribes L. (Mahonia Nutt.?)
Andrenidae: Andreninae,Andrena (Callandrena s.l.) berkeleyi,AZ-CA-CO-NM,Rare,"Asteraceae: Engelmannia A. Gray ex Nutt., Hymenoxys Cass., Tetraneuris Greene"
Andrenidae: Andreninae,Andrena (Onagrandrena) bernardina,CA-UT,Rare,Clarkia Pursh
Andrenidae: Andreninae,Andrena (Andrena) birtwelli,CA-CO-ID-MT-NM-NV-OR-UT-WA-WY,Common-Uncommon,Potentilla L.
Andrenidae: Andreninae,Andrena (Callandrena s.l.) biscutellata,CO-NM,Rare,Asteraceae: Gaillardia Foug.
Andrenidae: Andreninae,Andrena (Onagrandrena) blaisdelli,CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Diandrena) blennospermatis,CA,Rare,"Asteraceae: Blennosperma Less., Lasthenia Cass."
Andrenidae: Andreninae,Andrena (Cnemidandrena) bocensis,CA-OR,Rare,Asteraceae: Solidago L.
Andrenidae: Andreninae,Andrena (Onagrandrena) boronensis,CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Conandrena) bradleyi,CO-WY,Rare,"Ericaceae: Kalmia L., Vaccinium L."
Andrenidae: Andreninae,Andrena (Thysandrena) brevipalpis,AZ-CO,Rare,Rhus L.
Andrenidae: Andreninae,Andrena (Callandrena) brooksi,AZ-NM,Rare,Asteraceae: Simsia Pers.
Andrenidae: Andreninae,Andrena (Parandrena) bucculenta,CA,Rare,Salix L.
Andrenidae: Andreninae,Andrena (Euandrena) caerulea,CA-ID-OR-NV-UT-WA,Common-Uncommon,Ranunculus L.
Andrenidae: Andreninae,Andrena (Dactylandrena) caliginosa,CA,Rare,Ribes L.
Andrenidae: Andreninae,Andrena (Callandrena) calvata,CA-AZ-NM,Rare,Asteraceae: Viguiera Kunth
Andrenidae: Andreninae,Andrena (Onagrandrena) camissoniae,CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Ptilandrena) campanulae,CO-UT-WY,Rare,Campanula L.
Andrenidae: Andreninae,Andrena (Cnemidandrena) canadensis,AZ-CA-CO-MT-NM-UT-WY,Uncommon-Rare,"Asteraceae: Chrysothamnus Nutt., Eurybia (Cass.) Cass., Grindelia Willd., Gutierrezia Lag., Solidago L., Symphyotrichum Nees"
Andrenidae: Andreninae,Andrena (Micrandrena) candidiformis,AZ-CA-CO-ID-NV-OR-UT-WA,Uncommon,"Ceanothus L., Lomatium Raf."
Andrenidae: Andreninae,Andrena (Scaphandrena) capricornis,AZ-CA-CO-ID-NM-NV-UT,Uncommon-Rare,"Brassicaceae: Descurainia Webb & Bethel., Lepidium L., Lesquerella S. Watson, Physaria (Nutt. ex Torr. & A. Gray) A. Gray"
Andrenidae: Andreninae,Andrena (Diandrena) chalybaea,CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Diandrena) chalybioides,CA-OR-UT,Uncommon-Rare,Agoseris Raf.
Andrenidae: Andreninae,Andrena (Scaphandrena) chapmanae,CA-ID-NV-OR-UT-WA,Uncommon-Rare,"Cryptantha Lehm. ex G. Don, Hackelia Opiz"
Andrenidae: Andreninae,Andrena (Conandrena) cheyennorum,CA-CO-ID-UT-WA-WY,Uncommon-Rare,Symphoricarpos Duham.
Andrenidae: Andreninae,Andrena (Diandrena) chlorosoma,CA,Rare,Asteraceae: Agoseris Raf.
Andrenidae: Andreninae,Andrena (Cnemidandrena) chromotricha,AZ-CA-CO-NM-UT,Rare,"Asteraceae: Grindelia Willd., Helianthus L., Solidago L., Symphyotrichum Nees"
Andrenidae: Andreninae,Andrena (Onagrandrena) chylismiae,CA-NV-OR-UT-WY,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Cnemidandrena) citrinihirta,CA-OR,Rare,"Asteraceae: Baccharis L., Ericameria Nutt., Euthamia Nutt. ex Cass., Isocoma Nutt., Solidago L."
Andrenidae: Andreninae,Andrena (Andrena) clarkella,CO,Rare,Salix L.
Andrenidae: Andreninae,Andrena (Trachandrena) cleodora,AZ-CA-CO-ID-MT-NV-OR-UT-WA-WY,Common-Uncommon,Ceanothus L.
Andrenidae: Andreninae,Andrena (Cnemidandrena) colletina,AZ-CA-CO-ID-NM-NV-OR-UT-WY,Uncommon-Rare,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt., Solidago L."
Andrenidae: Andreninae,Andrena (Cnemidandrena) columbiana,CA-CO-ID-MT-NV-OR-UT-WA-WY,Uncommon,"Asteraceae: Heterotheca Cass., Solidago L."
Andrenidae: Andreninae,Andrena (Hesperandrena) compositarum,CA,Rare,Asteraceae: Layia Hook. & Arn. ex DC.
Andrenidae: Andreninae,Andrena (Parandrena) concinnula,AZ-CA-OR,Uncommon-Rare,Salix L.
Andrenidae: Andreninae,Andrena (Cnemidandrena) costillensis,AZ-CA-CO-ID-MT-NM-UT-WY,Uncommon,"Asteraceae: Agoseris Raf., Chrysothamnus Nutt., Erigeron L., Grindelia Willd., Heliomeris Nutt., Heterotheca Cass.,"
Andrenidae: Andreninae,Andrena (Rhacandrena) cragini,CO,Rare,Amorpha L.
Andrenidae: Andreninae,Andrena (Dasyandrena) cristata,AZ-CA-CO-NV-OR-UT-WA,Uncommon-Rare,Arctostaphylos Adans.
Andrenidae: Andreninae,Andrena (Nemandrena) crudeni,CA,Uncommon-Rare,Nemophila Nutt.
Andrenidae: Andreninae,Andrena (Scoliandrena) cryptanthae,CA,Uncommon-Rare,Cryptantha Lehm. ex G. Don
Andrenidae: Andreninae,Andrena (Diandrena) cuneilabris,CA-OR,Uncommon,Ranunculus L.
Andrenidae: Andreninae,Andrena (Diandrena) cyanosoma,CA-NM,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Onagrandrena) decolorata,CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Onagrandrena) deserticola,CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Euandrena) dissimulans,CA,Rare,Lasthenia Cass.
Andrenidae: Andreninae,Andrena (Hesperandrena) dissona,CA,Rare,"Lasthenia Cass., Layia Hook. & Arn. ex DC."
Andrenidae: Andreninae,Andrena (Ptilandrena) distans,CO,Rare,Geranium L.
Andrenidae: Andreninae,Andrena (Hesperandrena) duboisi,CA,Rare,"Asteraceae: Blennosperma Less., Layia Hook. & Arn. ex DC., Lasthenia Cass."
Andrenidae: Andreninae,Andrena (Diandrena) eothina,CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Tylandrena) erythrogaster,CO-ID-MT-NM-UT-WA-WY,Common-Uncommon,Salix L.
Andrenidae: Andreninae,Andrena (Hesperandrena) escondida,CA,Rare,Layia Hook. & Arn. ex DC.
Andrenidae: Andreninae,Andrena (Diandrena) evoluta,AZ-CA-ID-MT-NV-OR-UT-WA-WY,Uncommon,Agoseris Raf.
Andrenidae: Andreninae,Andrena (Onagrandrena) flandersi,CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Diandrena) foxii,CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Gonandrena) fragilis,CO-NM,Rare,Cornus (Swida) L.
Andrenidae: Andreninae,Andrena (Andrena) frigida,AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY,Common,Salix L.
Andrenidae: Andreninae,Andrena (Callandrena s.l.) fulvipennis,AZ,Rare,Heterotheca Cass.
Andrenidae: Andreninae,Andrena (Onagrandrena) furva,CA,Rare,"Camissonia Link, Clarkia Pursh"
Andrenidae: Andreninae,Andrena (Callandrena s.l.) gardineri,CA-CO-NM-WY,Uncommon,"Gutierrezia Lag., Packera Á. Löve & D. Löve, Senecio L."
Andrenidae: Andreninae,Andrena (Euandrena) geranii,CO-UT-WY,Rare,Hydrophyllum L.
Andrenidae: Andreninae,Andrena (Parandrena) gibberis,CA-NV-UT,Rare,Salix L.
Andrenidae: Andreninae,Andrena (Diandrena) gnaphalii,CA-OR,Rare,Agoseris Raf.
Andrenidae: Andreninae,Andrena (Cnemidandrena) grindeliae,CA,Rare,"Asteraceae: Baccharis L., Grindelia Willd., Hemizonia DC."
Andrenidae: Andreninae,Andrena (Callandrena s.l.) haynesi,AZ-CO-NM-UT-WY,Uncommon,Helianthus L.
Andrenidae: Andreninae,Andrena (Callandrena s.l.) helianthi,AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY,Common-Uncommon,Helianthus L.
Andrenidae: Andreninae,Andrena (Callandrena s.l.) helianthiformis,MT,Rare,Echinacea Moench
Andrenidae: Andreninae,Andrena (Derandrena) hermosa,CA,Rare,Lasthenia Cass.
Andrenidae: Andreninae,Andrena (Cnemidandrena) hirticincta,CO-ID-MT-NM-UT-WY,Common-Uncommon,"Asteraceae: Euthamia Nutt. ex. Cass., Grindelia Willd., Solidago L., Symphyotrichum Nees"
Andrenidae: Andreninae,Andrena (Micrandrena) illinoiensis,AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY,Common-Uncommon,Salix L.
Andrenidae: Andreninae,Andrena (Callandrena) inculta,NM,Rare,Encelia Adans.
Andrenidae: Andreninae,Andrena (Callandrena s.l.) irrasus,NM-WY,Rare,"Asteraceae: Amphiachyris (A. DC.) Nutt. , Chrysothamnus Nutt."
Andrenidae: Andreninae,Andrena (Micrandrena) ishii,AZ-CA,Rare,Salix L.
Andrenidae: Andreninae,Andrena (Callandrena s.l.) isocomae,CA,Rare,"Asteraceae: Gutierrezia Lag., Heterotheca Cass., Isocoma Nutt., Senecio L., Solidago L."
Andrenidae: Andreninae,Andrena (Tylandrena) jessicae,AZ-NM,Rare,Lesquerella S. Watson
Andrenidae: Andreninae,Andrena (Micrandrena) kristina,CO-UT,Rare,"Brassicaceae: Lepidium L., Lesquerella S. Watson, Physaria (Nutt. ex Torr. & A. Gray) A. Gray"
Andrenidae: Andreninae,Andrena (Micrandrena) labergei,AZ-CA-NM,Rare,Salix L.
Andrenidae: Andreninae,Andrena (Hesperandrena) lativentris,CA,Rare,"Asteraceae: Blennosperma Less., Layia Hook. & Arn. ex DC., Lasthenia Cass."
Andrenidae: Andreninae,Andrena (Ptilandrena) layiae,AZ-CA,Rare,Lasthenia Cass.
Andrenidae: Andreninae,Andrena (Uncertain) levipes,AZ-CA-CO-OR,Rare,"Polemoniaceae: Leptosiphon Benth., Linanthus Benth."
Andrenidae: Andreninae,Andrena (Diandrena) lewisorum,CA,Rare,Clarkia Pursh
Andrenidae: Andreninae,Andrena (Onagrandrena) linsleyi,AZ-CA-NV,Rare,Oenothera L.
Andrenidae: Andreninae,Andrena (Onagrandrena) linsleyana,UT,Rare,Oenothera L.
Andrenidae: Andreninae,Andrena (Melandrena) lupinorum,CA-CO-ID-MT-NM-NV-OR-UT-WA-WY,Common-Uncommon,Fabaceae
Andrenidae: Andreninae,Andrena (Andrena) macoupinensis,AZ-CA-CO-ID-MT-NV-OR-UT-WA-WY,Common-Uncommon,Salix L.
Andrenidae: Andreninae,Andrena (Oligandrena) macrocephala,CA,Uncommon-Rare,Nemophila Nutt.
Andrenidae: Andreninae,Andrena (Onagrandrena) macswaini,AZ-CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Diandrena) malacothricidis,CA,Rare,Malacothrix DC.
Andrenidae: Andreninae,Andrena (Trachandrena) mariae,CO-ID-MT-NM-NV-OR-UT-WA-WY,Uncommon,Salix L.
Andrenidae: Andreninae,Andrena (Micrandrena) melanochroa,AZ-CA-CO-ID-MT-OR-UT-WA-WY,Uncommon,Potentilla L.
Andrenidae: Andreninae,Andrena (Cnemidandrena) mentzeliae,CA-CO-NM,Rare,Mentzelia L.
Andrenidae: Andreninae,Andrena (Tylandrena) mesillae,AZ-CO-MT-NM,Rare,"Brassicaceae: Lesquerella S. Watson, Physaria (Nutt. ex Torr. & A. Gray) A. Gray"
Andrenidae: Andreninae,Andrena (Micrandrena) microchlora,AZ-CA-CO-ID-MT-NV-OR-UT-WA-WY,Uncommon-Rare,Lomatium Raf.
Andrenidae: Andreninae,Andrena (Onagrandrena) mojavensis,CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Andrena) monogonoparia,CA-NV,Rare,Arctostaphylos Adans.
Andrenidae: Andreninae,Andrena (Callandrena s.l.) monticola,AZ,Rare,"Asteraceae: Cirsium Mill., Heliopsis Pers."
Andrenidae: Andreninae,Andrena (Belandrena) nemophilae,CA,Uncommon-Rare,Nemophila Nutt.
Andrenidae: Andreninae,Andrena (Callandrena s.l.) neomexicana,AZ-NM,Rare,Gutierrezia Lag. (Eriogonum Michx.?)
Andrenidae: Andreninae,Andrena (Onagrandrena) nevadae,NV,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Parandrena) nevadensis,CA-ID-NV-OR-UT-WA,Uncommon-Rare,Salix L.
Andrenidae: Andreninae,Andrena (Scrapteropsis) nigra,AZ-CA,Rare,Phacelia Juss.
Andrenidae: Andreninae,Andrena (Micrandrena) nigrae,CO-ID-MT-UT-WA-WY,Uncommon-Rare,Salix L.
Andrenidae: Andreninae,Andrena (Oligandrena) nigripes,CA,Rare,Nemophila Nutt.
Andrenidae: Andreninae,Andrena (Diandrena) nothocalaidis,CA-CO-ID-MT-NV-OR-UT-WA-WY,Uncommon,Agoseris Raf.
Andrenidae: Andreninae,Andrena (Notandrena) nothoscordi,CO,Rare,Nothoscordum Kunth
Andrenidae: Andreninae,Andrena (Cnemidandrena) nubecula,AZ-CO-ID-MT-NM-OR-UT-WA-WY,Uncommon,Solidago L.
Andrenidae: Andreninae,Andrena (Onagrandrena) oenotherae,CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Callandrena s.l.) ofella,AZ-NM,Rare,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt., Nutt., Gutierrezia Lag., Haplopappus Cass."
Andrenidae: Andreninae,Andrena (Diandrena) olivacea,AZ-CA-NM-NV,Rare,"Asteraceae: Baileya Harv. & A. Gray ex A. Gray, Geraea Torr. & A. Gray, Malacothrix DC., Rafinesquia Nutt."
Andrenidae: Andreninae,Andrena (Onagrandrena) omninigra,CA,Rare,Clarkia Pursh
Andrenidae: Andreninae,Andrena (Simandrena) orthocarpi,CA-OR-WA,Uncommon-Rare,Lasthenia Cass.
Andrenidae: Andreninae,Andrena (Scoliandrena) osmoides,AZ-CA,Uncommon-Rare,Cryptantha Lehm. ex G. Don
Andrenidae: Andreninae,Andrena (Ptilandrena) pallidiscopa,AZ-CA-CO-ID-NV-OR-UT-WA-WY,Rare,Lomatium Raf.
Andrenidae: Andreninae,Andrena (Belandrena) palpalis,AZ-CA-NM-NV-UT,Uncommon-Rare,Phacelia Juss.
Andrenidae: Andreninae,Andrena (Parandrena) papagorum,AZ-CA-OR-UT,Rare,Salix L.
Andrenidae: Andreninae,Andrena (Diandrena) parachalybea,AZ-CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Callandrena s.l.) pecosana,AZ-CO-NM-UT,Rare,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt., Grindelia Willd., Gutierrezia Lag., Haplopappus Cass., Heliomeris Nutt., Heterotheca Cass., Viguiera Kunth, Xanthisma DC."
Andrenidae: Andreninae,Andrena (Callandrena) pectidis,NM,Rare,Pectis L.
Andrenidae: Andreninae,Andrena (Simandrena) pensilis,CA-OR,Rare,Lasthenia Cass.
Andrenidae: Andreninae,Andrena (Andrena) perarmata,CA-CO-ID-MT-NM-NV-OR-UT-WA-WY,Uncommon,Salix L.
Andrenidae: Andreninae,Andrena (Callandrena) perpunctata,AZ-NM,Rare,"Heterotheca Cass.,"
Andrenidae: Andreninae,Andrena (Gonandrena) persimulata,CA-CO-UT-WY,Rare,Cornus (Swida) L.
Andrenidae: Andreninae,Andrena (Micrandrena) piperi,AZ-CA-CO-ID-MT-NV-OR-UT-WA,Uncommon-Rare,"Brassicaceae: Descurainia Webb & Bethel., Lepidium L., Lesquerella S. Watson, Physaria (Nutt. ex Torr. & A. Gray) A. Gray"
Andrenidae: Andreninae,Andrena (Scaphandrena) plana,CA-OR,Uncommon-Rare,Trifolium L.
Andrenidae: Andreninae,Andrena (Gonandrena) platyparia,CA-OR-UT,Rare,Cornus (Swida) L.
Andrenidae: Andreninae,Andrena (Dactylandrena) porterae,AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY,Uncommon-Rare,Ribes L.
Andrenidae: Andreninae,Andrena (Rhaphandrena) prima,AZ-CA-CO-NM-UT,Uncommon-Rare,"Brassicaceae: Lepidium L., Lesquerella S. Watson, Physaria (Nutt. ex Torr. & A. Gray) A. Gray"
Andrenidae: Andreninae,Andrena (Micrandrena) primulifrons,AZ-NM-NV,Rare,Lesquerella S. Watson
Andrenidae: Andreninae,Andrena (Erandrena) principalis,AZ-CA,Rare,Arctostaphylos Adans.
Andrenidae: Andreninae,Andrena (Hesperandrena) pulverea,CA,Rare,Limnanthes R. Br.
Andrenidae: Andreninae,Andrena (Diandrena) puthua,CA,Rare,"Asteraceae: Lasthenia Cass., Wyethia Nutt."
Andrenidae: Andreninae,Andrena (Trachandrena) quintilis,CO-UT,Rare,Amorpha L.
Andrenidae: Andreninae,Andrena (Cnemidandrena) ramaleyi,AZ-CO-ID-NM-NV-WY,Rare,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt."
Andrenidae: Andreninae,Andrena (Onagrandrena) raveni,CA-ID-NV-OR-UT-WA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Callandrena) reflexa,NM,Rare,"Asteraceae: Gutierrezia Lag., Verbesina L."
Andrenidae: Andreninae,Andrena (Euandrena) ribblei,CA-CO-OR-UT-WA-WY,Rare,Polemonium L.
Andrenidae: Andreninae,Andrena (Cnemidandrena) robervalensis,CO-WY,Rare,Asteraceae
Andrenidae: Andreninae,Andrena (Onagrandrena) rozeni,AZ-CA-NV,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Onagrandrena) rubrotincta,AZ-CA-NV-UT,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Callandrena s.l.) rudbeckiae,CO,Rare,"Ratibida Raf., Rudbeckia L."
Andrenidae: Andreninae,Andrena (Cnemidandrena) runcinatae,CO-MT,Rare,"Asteraceae: Agoseris Raf., Cirsium Mill., Grindelia Willd., Lactuca L., Ratibida Raf."
Andrenidae: Andreninae,Andrena (Trachandrena) salicifloris,CA-CO-ID-MT-OR-UT-WA-WY,Uncommon-Rare,Salix L.
Andrenidae: Andreninae,Andrena (Micrandrena) salictaria,CO-ID-MT-NM-UT-WA-WY,Uncommon-Rare,Salix L.
Andrenidae: Andreninae,Andrena (Scaphandrena) scurra,CA-CO-ID-MT-NV-OR-UT-WA-WY,Uncommon-Rare,"Brassicaceae: Lepidium L., Lesquerella S. Watson"
Andrenidae: Andreninae,Andrena (Cnemidandrena) scutellinitens,CA-CA-ID-MT-NM-NV-OR-UT-WA-WY,Common-Uncommon,"Asteraceae: Achillea L., Anaphalis DC., Eurybia (Cass.) Cass., Erigeron L., Senecio L., Solidago L."
Andrenidae: Andreninae,Andrena (Trachandrena) semipunctata,AZ-CA-ID-NM-NV-OR-UT-WA,Rare,Salix L.
Andrenidae: Andreninae,Andrena (Trachandrena) sigmundi,CA-CO-ID-MT-NM-NV-OR-UT-WA-WY,Uncommon,Salix L.
Andrenidae: Andreninae,Andrena (Callandrena) simulata,AZ-NM-CO,Rare,Asteraceae: Viguiera Kunth
Andrenidae: Andreninae,Andrena (Callandrena s.l.) sonorensis,AZ-NM,Rare,"Asteraceae: Ericameria Nutt., Gutierrezia Lag."
Andrenidae: Andreninae,Andrena (Diandrena) sperryi,CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Belandrena) sphaeralceae,AZ-CA-CO-NM-NV-UT,Uncommon-Rare,Sphaeralcea A. St.-Hil.
Andrenidae: Andreninae,Andrena (Onagrandrena) stagei,WY,Rare,Oenothera L.
Andrenidae: Andreninae,Andrena (Trachandrena) striatifrons,AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY,Uncommon-Rare,Salix L.
Andrenidae: Andreninae,Andrena (Euandrena) suavis,CA-OR,Uncommon-Rare,Ranunculus L.
Andrenidae: Andreninae,Andrena (Diandrena) subapasta,CA,Rare,Arenaria L.
Andrenidae: Andreninae,Andrena (Tylandrena) subaustralis,AZ-CA-CO-ID-NM-NV-OR-UT-WA,Rare,Salix L.
Andrenidae: Andreninae,Andrena (Diandrena) subchalybea,CA-OR-UT-WA,Uncommon-Rare,Lasthenia Cass.
Andrenidae: Andreninae,Andrena (Tylandrena) sublayiae,CA-NV,Rare,Lasthenia Cass.
Andrenidae: Andreninae,Andrena (Dactylandrena) submaura,CA,Rare,Ribes L.
Andrenidae: Andreninae,Andrena (Diandrena) submoesta,AZ-CA,Uncommon-Rare,Lasthenia Cass.
Andrenidae: Andreninae,Andrena (Nemandrena) subnigripes,CA,Rare,Nemophila Nutt.
Andrenidae: Andreninae,Andrena (Cnemidandrena) sulcata,CA-ID-OR-UT-WA-WY,Rare,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt."
Andrenidae: Andreninae,Andrena (Cnemidandrena) surda,AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY,Common-Uncommon,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt., Gutierrezia Lag., Machaeranthera Nees, Solidago L."
Andrenidae: Andreninae,Andrena (Callandrena) tegularis,AZ-NM,Rare,Asteraceae: Heliopsis Pers.
Andrenidae: Andreninae,Andrena (Derandrena) timberlakei,CA,Rare,Cryptantha Lehm. ex G. Don
Andrenidae: Andreninae,Andrena (Callandrena s.l.) tonkaworum,CO-NM,Rare,Asteraceae: Engelmannia A. Gray ex Nutt.
Andrenidae: Andreninae,Andrena (Nemandrena) torulosa,CA-OR,Rare,Limnanthes R. Br.
Andrenidae: Andreninae,Andrena (Callandrena) trimaculata,AZ-NM,Rare,Asteraceae: Helianthus L.
Andrenidae: Andreninae,Andrena (Thysandrena) trizonata,CA-CO-ID-NM-NV-OR-UT-WA-WY,Uncommon-Rare,Salix L.
Andrenidae: Andreninae,Andrena (Callandrena s.l.) utahensis,AZ-CO-NM-NV-UT,Uncommon-Rare,"Asteraceae: Coreopsis L., Enceliopsis (A. Gray) A. Nelson, Geraea Torr. & A. Gray, Hymenopappus L'Hér."
Andrenidae: Andreninae,Andrena (Onagrandrena) vanduzeei,CA,Rare,Gayophytum A. Juss.
Andrenidae: Andreninae,Andrena (Derandrena) vandykei,CA-OR,Rare,Arctostaphylos Adans.
Andrenidae: Andreninae,Andrena (Callandrena) verbesinae,NM-UT,Rare,"Asteraceae: Grindelia Willd., Heliomeris Nutt., Verbesina L."
Andrenidae: Andreninae,Andrena (Onagrandrena) vespertina,CA,Rare,Camissonia Link
Andrenidae: Andreninae,Andrena (Iomelissa) violae,CO,Rare,Viola L.
Andrenidae: Andreninae,Andrena (Callandrena s.l.) vulpicolor,AZ-CA-CO-ID-NM-NV-OR-UT-WY,Uncommon,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt., Heliomeris Nutt., Heterotheca Cass., Senecio L., Viguiera Kunth"
Andrenidae: Andreninae,Andrena (Parandrena) wellesleyana,CO-UT-WY,Uncommon-Rare,Salix L.
Andrenidae: Andreninae,Andrena (Trachandrena) winnemuccana,NV-OR,Rare,"Brassicaceae: Caulanthus S. Watson, Guillenia Greene, Thelypodium Endl."
Andrenidae: Andreninae,Andrena (Cnemidandrena) xanthigera,AZ-CO-NM-UT,Uncommon-Rare,Asteraceae: Haplopappus Cass.
Andrenidae: Andreninae,Andrena (Micrandrena) ziziae,CA-CO-NM-UT,Rare,Zizia W.D.J. Koch
Andrenidae: Andreninae,Andrena (Derandrena) ziziaeformis,UT,Rare,"Potentilla L., Waldsteinia Willd."
Andrenidae: Andreninae,Megandrena (Megandrena) enceliae,AZ-CA-NV,Common-Uncommon,Larrea Cav.
Andrenidae: Andreninae,Megandrena (Megandrena) mentzeliae,AZ-NV,Rare,"Loasaceae: Eucnide Zucc., Mentzelia L."
Andrenidae: Panurginae: Calliopsini,Calliopsis (Perissander) anomoptera,AZ-CA-NM-NV,Uncommon-Rare,"Euphorbiaceae: Chamaesyce Gray, Euphorbia L."
